Date,Open,High,Low,Close,Adj Close,Volume
2021-05-17,6296.250000,6402.100098,6267.549805,6386.410156,6386.410156,144390400
2021-05-24,6395.959961,6493.720215,6375.140137,6484.109863,6484.109863,217185100
2021-05-31,6483.319824,6522.229980,6441.759766,6515.660156,6515.660156,265320900
2021-06-07,6509.979980,6607.609863,6485.799805,6600.660156,6600.660156,328873000
2021-06-14,6625.549805,6687.290039,6560.120117,6569.160156,6569.160156,443145200
2021-06-21,6525.029785,6641.899902,6511.930176,6622.870117,6622.870117,288843900
2021-06-28,6611.990234,6633.729980,6474.430176,6552.859863,6552.859863,341631600
2021-07-05,6545.979980,6582.870117,6348.640137,6529.419922,6529.419922,396061900
2021-07-12,6525.109863,6569.370117,6418.250000,6460.080078,6460.080078,123912400
2021-07-19,6398.839844,6574.859863,6253.250000,6568.819824,6568.819824,279248000
2021-07-26,6532.009766,6671.120117,6516.569824,6612.759766,6612.759766,308586700
2021-08-02,6657.950195,6832.939941,6639.310059,6816.959961,6816.959961,346188500
2021-08-09,6818.540039,6913.669922,6806.979980,6896.040039,6896.040039,253906700
2021-08-16,6849.680176,6863.740234,6560.740234,6626.109863,6626.109863,324956200
2021-08-23,6699.319824,6717.770020,6618.689941,6681.919922,6681.919922,248549700
2021-08-30,6690.279785,6784.660156,6650.899902,6689.990234,6689.990234,329319200
2021-09-06,6704.350098,6756.399902,6605.089844,6663.770020,6663.770020,292674900
2021-09-13,6688.770020,6722.000000,6551.620117,6570.189941,6570.189941,500704400
2021-09-20,6450.390137,6718.799805,6389.620117,6638.459961,6638.459961,500903100
2021-09-27,6683.850098,6688.759766,6412.700195,6517.689941,6517.689941,499992700
2021-10-04,6484.899902,6617.339844,6421.640137,6559.990234,6559.990234,420137500
2021-10-11,6546.069824,6746.810059,6491.580078,6727.520020,6727.520020,370377100
2021-10-18,6697.290039,6765.459961,6636.609863,6733.689941,6733.689941,323963300
2021-10-25,6752.979980,6830.339844,6707.319824,6830.339844,6830.339844,372195900
2021-11-01,6870.279785,7063.399902,6859.439941,7040.790039,7040.790039,353551800
2021-11-08,7041.600098,7097.459961,7014.939941,7091.399902,7091.399902,362012600
2021-11-15,7090.959961,7183.080078,7068.430176,7112.290039,7112.290039,395353900
2021-11-22,7130.240234,7143.600098,6725.080078,6739.729980,6739.729980,451317500
2021-11-29,6831.410156,6902.459961,6655.859863,6765.520020,6765.520020,577755000
2021-12-06,6810.930176,7104.060059,6776.169922,6991.680176,6991.680176,388984900
2021-12-13,7004.759766,7054.919922,6884.910156,6926.629883,6926.629883,488757100
2021-12-20,6783.830078,7119.870117,6747.689941,7086.580078,7086.580078,283799300
2021-12-27,7070.140137,7201.649902,7062.399902,7153.029785,7153.029785,162764300
2022-01-03,7197.399902,7384.859863,7178.180176,7219.479980,7219.479980,300576300
2022-01-10,7245.209961,7250.240234,7105.549805,7143.000000,7143.000000,399123200
2022-01-17,7167.529785,7213.700195,7013.490234,7068.589844,7068.589844,403830700
2022-01-24,7014.839844,7070.919922,6754.240234,6965.879883,6965.879883,304952900
2022-01-31,7039.709961,7150.540039,6914.770020,6951.379883,6951.379883,261230400
2022-02-07,6987.169922,7169.629883,6929.709961,7011.600098,7011.600098,424571400
2022-02-14,6868.069824,7031.930176,6757.330078,6929.629883,6929.629883,462768100
2022-02-21,6984.310059,6986.830078,6432.890137,6752.430176,6752.430176,548227800
2022-02-28,6620.479980,6684.540039,6061.660156,6061.660156,6061.660156,826578900
2022-03-07,5887.830078,6466.120117,5756.379883,6260.250000,6260.250000,886133600
2022-03-14,6298.959961,6680.000000,6206.049805,6620.240234,6620.240234,653555300
2022-03-21,6608.790039,6684.700195,6538.799805,6553.680176,6553.680176,390322000
2022-03-28,6578.720215,6829.399902,6572.009766,6684.310059,6684.310059,415208200
2022-04-04,6709.600098,6745.220215,6442.439941,6548.220215,6548.220215,459955700
2022-04-11,6558.529785,6614.959961,6424.970215,6589.350098,6589.350098,323559800
2022-04-18,6545.970215,6757.750000,6494.330078,6581.419922,6581.419922,259242100
2022-04-25,6450.899902,6601.149902,6338.609863,6533.770020,6533.770020,358252900
2022-05-02,6469.310059,6558.910156,6213.640137,6258.359863,6258.359863,339604600
2022-05-09,6207.149902,6363.240234,6086.020020,6362.680176,6362.680176,479855500
2022-05-16,6315.680176,6455.799805,6196.189941,6272.709961,6272.709961,242359700
2022-05-19,6279.689941,6288.990234,6196.189941,6272.709961,6272.709961,0
